modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV2000EWF,886,7057.69,0.00,0.2088,
AV2000EWF,886,6474.93,24.91,0.2088,
AV2000EWF,886,6322.02,31.14,0.2088,
AV2000EWF,886,6167.41,37.36,0.2088,
AV2000EWF,886,5846.30,49.82,0.2088,
AV2000EWF,886,5436.83,62.27,0.2088,
AV2000EWF,886,4859.17,74.73,0.2088,
AV2000EWF,975,7766.18,0.00,0.2759,
AV2000EWF,975,7241.18,24.91,0.2759,
AV2000EWF,975,7105.26,31.14,0.2759,
AV2000EWF,975,6964.25,37.36,0.2759,
AV2000EWF,975,6683.91,49.82,0.2759,
AV2000EWF,975,6384.88,62.27,0.2759,
AV2000EWF,975,6007.70,74.73,0.2759,
AV2000EWF,975,5219.36,93.41,0.2759,
AV2000EWF,1116,8889.22,0.00,0.4101,
AV2000EWF,1116,8435.59,24.91,0.4101,
AV2000EWF,1116,8318.36,31.14,0.4101,
AV2000EWF,1116,8197.73,37.36,0.4101,
AV2000EWF,1116,7954.77,49.82,0.4101,
AV2000EWF,1116,7710.11,62.27,0.4101,
AV2000EWF,1116,7456.96,74.73,0.4101,
AV2000EWF,1116,7011.82,93.41,0.4101,
AV2000EWF,1116,5888.77,124.54,0.4101,
AV2000EWF,1278,10178.77,0.00,0.6189,
AV2000EWF,1278,9786.30,24.91,0.6189,
AV2000EWF,1278,9684.36,31.14,0.6189,
AV2000EWF,1278,9582.42,37.36,0.6189,
AV2000EWF,1278,9375.14,49.82,0.6189,
AV2000EWF,1278,9161.07,62.27,0.6189,
AV2000EWF,1278,8948.69,74.73,0.6189,
AV2000EWF,1278,8622.48,93.41,0.6189,
AV2000EWF,1278,7976.86,124.54,0.6189,
AV2000EWF,1278,7001.62,155.68,0.6189,
AV2400EWF,1004,8901.12,0.00,0.2759,
AV2400EWF,1004,8173.94,24.91,0.2759,
AV2400EWF,1004,7998.94,31.14,0.2759,
AV2400EWF,1004,7832.44,37.36,0.2759,
AV2400EWF,1004,7514.72,49.82,0.2759,
AV2400EWF,1004,7168.13,62.27,0.2759,
AV2400EWF,1004,6714.49,74.73,0.2759,
AV2400EWF,1004,5650.91,93.41,0.2759,
AV2400EWF,1150,10195.76,0.00,0.4101,
AV2400EWF,1150,9555.24,24.91,0.4101,
AV2400EWF,1150,9400.63,31.14,0.4101,
AV2400EWF,1150,9247.72,37.36,0.4101,
AV2400EWF,1150,8953.79,49.82,0.4101,
AV2400EWF,1150,8676.85,62.27,0.4101,
AV2400EWF,1150,8388.02,74.73,0.4101,
AV2400EWF,1150,7852.83,93.41,0.4101,
AV2400EWF,1150,6322.02,124.54,0.4101,
AV2400EWF,1316,11667.11,0.00,0.6115,
AV2400EWF,1316,11104.73,24.91,0.6115,
AV2400EWF,1316,10967.11,31.14,0.6115,
AV2400EWF,1316,10831.19,37.36,0.6115,
AV2400EWF,1316,10562.75,49.82,0.6115,
AV2400EWF,1316,10304.50,62.27,0.6115,
AV2400EWF,1316,10061.54,74.73,0.6115,
AV2400EWF,1316,9692.86,93.41,0.6115,
AV2400EWF,1316,8919.81,124.54,0.6115,
AV2400EWF,1316,7698.22,155.68,0.6115,
AV2400EWF,1448,12837.73,0.00,0.8203,
AV2400EWF,1448,12324.62,24.91,0.8203,
AV2400EWF,1448,12198.90,31.14,0.8203,
AV2400EWF,1448,12074.87,37.36,0.8203,
AV2400EWF,1448,11828.51,49.82,0.8203,
AV2400EWF,1448,11583.86,62.27,0.8203,
AV2400EWF,1448,11351.09,74.73,0.8203,
AV2400EWF,1448,11018.09,93.41,0.8203,
AV2400EWF,1448,10442.12,124.54,0.8203,
AV2400EWF,1448,9677.57,155.68,0.8203,
AV2400EWF,1448,8554.52,186.82,0.8203,
AV3000EWF,815,14524.84,0.00,0.4101,
AV3000EWF,815,13430.68,24.91,0.4101,
AV3000EWF,815,13123.16,31.14,0.4101,
AV3000EWF,815,12793.55,37.36,0.4101,
AV3000EWF,815,12052.78,49.82,0.4101,
AV3000EWF,815,11221.97,62.27,0.4101,
AV3000EWF,815,10258.63,74.73,0.4101,
AV3000EWF,933,16628.22,0.00,0.6115,
AV3000EWF,933,15693.76,24.91,0.6115,
AV3000EWF,933,15438.91,31.14,0.6115,
AV3000EWF,933,15173.87,37.36,0.6115,
AV3000EWF,933,14604.70,49.82,0.6115,
AV3000EWF,933,13962.47,62.27,0.6115,
AV3000EWF,933,13259.08,74.73,0.6115,
AV3000EWF,933,12074.87,93.41,0.6115,
AV3000EWF,1027,18303.44,0.00,0.8203,
AV3000EWF,1027,17464.13,24.91,0.8203,
AV3000EWF,1027,17239.86,31.14,0.8203,
AV3000EWF,1027,17008.80,37.36,0.8203,
AV3000EWF,1027,16521.18,49.82,0.8203,
AV3000EWF,1027,15991.09,62.27,0.8203,
AV3000EWF,1027,15404.93,74.73,0.8203,
AV3000EWF,1027,14441.59,93.41,0.8203,
AV3000EWF,1027,12503.02,124.54,0.8203,
AV3000EWF,1174,20923.32,0.00,1.2155,
AV3000EWF,1174,20199.54,24.91,1.2155,
AV3000EWF,1174,20007.55,31.14,1.2155,
AV3000EWF,1174,19813.86,37.36,1.2155,
AV3000EWF,1174,19409.50,49.82,1.2155,
AV3000EWF,1174,18984.75,62.27,1.2155,
AV3000EWF,1174,18534.51,74.73,1.2155,
AV3000EWF,1174,17790.34,93.41,1.2155,
AV3000EWF,1174,16390.36,124.54,1.2155,
AV3000EWF,1174,14740.62,155.68,1.2155,
AV3000EWF,1294,23062.37,0.00,1.6256,
AV3000EWF,1294,22409.95,24.91,1.6256,
AV3000EWF,1294,22240.05,31.14,1.6256,
AV3000EWF,1294,22066.75,37.36,1.6256,
AV3000EWF,1294,21709.96,49.82,1.6256,
AV3000EWF,1294,21341.27,62.27,1.6256,
AV3000EWF,1294,20955.60,74.73,1.6256,
AV3000EWF,1294,20338.86,93.41,1.6256,
AV3000EWF,1294,19176.74,124.54,1.6256,
AV3000EWF,1294,17875.29,155.68,1.6256,
AV3000EWF,1294,16373.37,186.82,1.6256,
AV3600EWF,688,21188.36,0.00,0.6115,
AV3600EWF,688,19637.17,24.91,0.6115,
AV3600EWF,688,19200.52,31.14,0.6115,
AV3600EWF,688,18736.69,37.36,0.6115,
AV3600EWF,688,17696.90,49.82,0.6115,
AV3600EWF,688,16531.38,62.27,0.6115,
AV3600EWF,688,15202.75,74.73,0.6115,
AV3600EWF,757,23313.83,0.00,0.8128,
AV3600EWF,757,21925.73,24.91,0.8128,
AV3600EWF,757,21545.16,31.14,0.8128,
AV3600EWF,757,21149.29,37.36,0.8128,
AV3600EWF,757,20286.19,49.82,0.8128,
AV3600EWF,757,19312.66,62.27,0.8128,
AV3600EWF,757,18249.08,74.73,0.8128,
AV3600EWF,757,16400.55,93.41,0.8128,
AV3600EWF,868,26732.24,0.00,1.2229,
AV3600EWF,868,25542.93,24.91,1.2229,
