modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV2000PRV,885,6903.08,0.00,0.2013,
AV2000PRV,885,6332.21,24.91,0.2013,
AV2000PRV,885,6184.40,31.14,0.2013,
AV2000PRV,885,6034.89,37.36,0.2013,
AV2000PRV,885,5708.68,49.82,0.2013,
AV2000PRV,885,5261.84,62.27,0.2013,
AV2000PRV,974,7597.98,0.00,0.2759,
AV2000PRV,974,7083.18,24.91,0.2759,
AV2000PRV,974,6948.95,31.14,0.2759,
AV2000PRV,974,6814.73,37.36,0.2759,
AV2000PRV,974,6539.49,49.82,0.2759,
AV2000PRV,974,6230.27,62.27,0.2759,
AV2000PRV,974,5819.11,74.73,0.2759,
AV2000PRV,1113,8681.95,0.00,0.4101,
AV2000PRV,1113,8235.11,24.91,0.4101,
AV2000PRV,1113,8119.57,31.14,0.4101,
AV2000PRV,1113,8002.34,37.36,0.4101,
AV2000PRV,1113,7767.88,49.82,0.4101,
AV2000PRV,1113,7528.32,62.27,0.4101,
AV2000PRV,1113,7271.77,74.73,0.4101,
AV2000PRV,1113,6784.15,93.41,0.4101,
AV2000PRV,1113,5664.50,124.54,0.4101,
AV2000PRV,1277,9961.30,0.00,0.6115,
AV2000PRV,1277,9573.93,24.91,0.6115,
AV2000PRV,1277,9475.38,31.14,0.6115,
AV2000PRV,1277,9375.14,37.36,0.6115,
AV2000PRV,1277,9171.26,49.82,0.6115,
AV2000PRV,1277,8965.68,62.27,0.6115,
AV2000PRV,1277,8760.10,74.73,0.6115,
AV2000PRV,1277,8435.59,93.41,0.6115,
AV2000PRV,1277,7740.69,124.54,0.6115,
AV2000PRV,1277,6777.35,155.68,0.6115,
AV2400PRV,1003,8710.83,0.00,0.2759,
AV2400PRV,1003,8021.03,24.91,0.2759,
AV2400PRV,1003,7857.93,31.14,0.2759,
AV2400PRV,1003,7701.62,37.36,0.2759,
AV2400PRV,1003,7389.00,49.82,0.2759,
AV2400PRV,1003,7025.41,62.27,0.2759,
AV2400PRV,1146,9952.81,0.00,0.4101,
AV2400PRV,1146,9344.56,24.91,0.4101,
AV2400PRV,1146,9196.75,31.14,0.4101,
AV2400PRV,1146,9050.63,37.36,0.4101,
AV2400PRV,1146,8777.09,49.82,0.4101,
AV2400PRV,1146,8505.25,62.27,0.4101,
AV2400PRV,1146,8209.62,74.73,0.4101,
AV2400PRV,1146,7638.75,93.41,0.4101,
AV2400PRV,1310,11378.28,0.00,0.6115,
AV2400PRV,1310,10843.09,24.91,0.6115,
AV2400PRV,1310,10712.26,31.14,0.6115,
AV2400PRV,1310,10581.44,37.36,0.6115,
AV2400PRV,1310,10326.59,49.82,0.6115,
AV2400PRV,1310,10087.03,62.27,0.6115,
AV2400PRV,1310,9850.86,74.73,0.6115,
AV2400PRV,1310,9477.08,93.41,0.6115,
AV2400PRV,1310,8653.06,124.54,0.6115,
AV2400PRV,1310,7314.24,155.68,0.6115,
AV2400PRV,1446,12559.09,0.00,0.8203,
AV2400PRV,1446,12073.17,24.91,0.8203,
AV2400PRV,1446,11952.54,31.14,0.8203,
AV2400PRV,1446,11835.31,37.36,0.8203,
AV2400PRV,1446,11599.15,49.82,0.8203,
AV2400PRV,1446,11369.78,62.27,0.8203,
AV2400PRV,1446,11154.01,74.73,0.8203,
AV2400PRV,1446,10832.89,93.41,0.8203,
AV2400PRV,1446,10239.94,124.54,0.8203,
AV2400PRV,1446,9436.31,155.68,0.8203,
AV2400PRV,1446,8230.01,186.82,0.8203,
AV3000PRV,813,14219.02,0.00,0.4101,
AV3000PRV,813,13116.36,24.91,0.4101,
AV3000PRV,813,12802.05,31.14,0.4101,
AV3000PRV,813,12463.94,37.36,0.4101,
AV3000PRV,813,11718.08,49.82,0.4101,
AV3000PRV,813,10894.06,62.27,0.4101,
AV3000PRV,929,16247.64,0.00,0.6115,
AV3000PRV,929,15304.69,24.91,0.6115,
AV3000PRV,929,15046.44,31.14,0.6115,
AV3000PRV,929,14776.30,37.36,0.6115,
AV3000PRV,929,14190.14,49.82,0.6115,
AV3000PRV,929,13541.12,62.27,0.6115,
AV3000PRV,929,12842.82,74.73,0.6115,
AV3000PRV,929,11639.92,93.41,0.6115,
AV3000PRV,1025,17927.96,0.00,0.8203,
AV3000PRV,1025,17081.85,24.91,0.8203,
AV3000PRV,1025,16855.89,31.14,0.8203,
AV3000PRV,1025,16621.42,37.36,0.8203,
AV3000PRV,1025,16127.01,49.82,0.8203,
AV3000PRV,1025,15583.33,62.27,0.8203,
AV3000PRV,1025,14993.77,74.73,0.8203,
AV3000PRV,1025,14040.63,93.41,0.8203,
AV3000PRV,1025,12073.17,124.54,0.8203,
AV3000PRV,1174,20532.55,0.00,1.2304,
AV3000PRV,1174,19805.37,24.91,1.2304,
AV3000PRV,1174,19613.38,31.14,1.2304,
AV3000PRV,1174,19417.99,37.36,1.2304,
AV3000PRV,1174,19011.93,49.82,1.2304,
AV3000PRV,1174,18582.08,62.27,1.2304,
AV3000PRV,1174,18121.65,74.73,1.2304,
AV3000PRV,1174,17368.99,93.41,1.2304,
AV3000PRV,1174,15987.69,124.54,1.2304,
AV3000PRV,1174,14320.96,155.68,1.2304,
AV3000PRV,1293,22613.83,0.00,1.6405,
AV3000PRV,1293,21958.02,24.91,1.6405,
AV3000PRV,1293,21788.11,31.14,1.6405,
AV3000PRV,1293,21613.12,37.36,1.6405,
AV3000PRV,1293,21254.63,49.82,1.6405,
AV3000PRV,1293,20882.54,62.27,1.6405,
AV3000PRV,1293,20491.77,74.73,1.6405,
AV3000PRV,1293,19861.44,93.41,1.6405,
AV3000PRV,1293,18694.22,124.54,1.6405,
AV3000PRV,1293,17408.06,155.68,1.6405,
AV3000PRV,1293,15884.05,186.82,1.6405,
AV3600PRV,686,20729.63,0.00,0.6115,
AV3600PRV,686,19164.84,24.91,0.6115,
AV3600PRV,686,18721.40,31.14,0.6115,
AV3600PRV,686,18243.98,37.36,0.6115,
AV3600PRV,686,17193.99,49.82,0.6115,
AV3600PRV,686,16038.66,62.27,0.6115,
AV3600PRV,757,22875.48,0.00,0.8203,
AV3600PRV,757,21480.59,24.91,0.8203,
AV3600PRV,757,21098.32,31.14,0.8203,
AV3600PRV,757,20695.65,37.36,0.8203,
AV3600PRV,757,19817.26,49.82,0.8203,
AV3600PRV,757,18843.73,62.27,0.8203,
AV3600PRV,757,17795.44,74.73,0.8203,
AV3600PRV,757,15931.62,93.41,0.8203,
AV3600PRV,867,26200.45,0.00,1.2304,
AV3600PRV,867,25002.64,24.91,1.2304,
AV3600PRV,867,24683.23,31.14,1.2304,
AV3600PRV,867,24353.62,37.36,1.2304,
AV3600PRV,867,23655.33,49.82,1.2304,
AV3600PRV,867,22894.17,62.27,1.2304,
AV3600PRV,867,22068.45,74.73,1.2304,
AV3600PRV,867,20731.33,93.41,1.2304,
AV3600PRV,867,18041.80,124.54,1.2304,
AV3600PRV,954,28828.82,0.00,1.6405,
AV3600PRV,954,27751.64,24.91,1.6405,
AV3600PRV,954,27467.91,31.14,1.6405,
AV3600PRV,954,27175.68,37.36,1.6405,
AV3600PRV,954,26570.83,49.82,1.6405,
AV3600PRV,954,25925.21,62.27,1.6405,
AV3600PRV,954,25230.31,74.73,1.6405,
AV3600PRV,954,24098.77,93.41,1.6405,
AV3600PRV,954,22008.99,124.54,1.6405,
AV3600PRV,954,19384.01,155.68,1.6405,
AV3600PRV,1093,33028.77,0.00,2.4608,
AV3600PRV,1093,32099.41,24.91,2.4608,
AV3600PRV,1093,31856.45,31.14,2.4608,
AV3600PRV,1093,31610.10,37.36,2.4608,
AV3600PRV,1093,31103.79,49.82,2.4608,
AV3600PRV,1093,30577.10,62.27,2.4608,
AV3600PRV,1093,30026.62,74.73,2.4608,
AV3600PRV,1093,29141.43,93.41,2.4608,
AV3600PRV,1093,27501.89,124.54,2.4608,
AV3600PRV,1093,25700.94,155.68,2.4608,
AV3600PRV,1093,23612.85,186.82,2.4608,
AV4200PRV,602,26261.61,0.00,0.8203,
AV4200PRV,602,24314.54,24.91,0.8203,
AV4200PRV,602,23816.73,31.14,0.8203,
AV4200PRV,602,23320.62,37.36,0.8203,
AV4200PRV,602,22313.11,49.82,0.8203,
AV4200PRV,602,21201.96,62.27,0.8203,
AV4200PRV,690,30099.68,0.00,1.2304,
AV4200PRV,690,28410.86,24.91,1.2304,
AV4200PRV,690,27979.31,31.14,1.2304,
AV4200PRV,690,27544.36,37.36,1.2304,
AV4200PRV,690,26679.57,49.82,1.2304,
AV4200PRV,690,25802.88,62.27,1.2304,
AV4200PRV,690,24875.22,74.73,1.2304,
AV4200PRV,690,23286.64,93.41,1.2304,
AV4200PRV,759,33110.32,0.00,1.6405,
AV4200PRV,759,31579.51,24.91,1.6405,
AV4200PRV,759,31188.74,31.14,1.6405,
AV4200PRV,759,30797.97,37.36,1.6405,
AV4200PRV,759,30006.23,49.82,1.6405,
AV4200PRV,759,29221.29,62.27,1.6405,
AV4200PRV,759,28424.45,74.73,1.6405,
AV4200PRV,759,27148.49,93.41,1.6405,
AV4200PRV,759,24605.07,124.54,1.6405,
AV4200PRV,759,20755.12,155.68,1.6405,
AV4200PRV,869,37908.33,0.00,2.4608,
AV4200PRV,869,36576.30,24.91,2.4608,
AV4200PRV,869,36238.20,31.14,2.4608,
AV4200PRV,869,35898.40,37.36,2.4608,
AV4200PRV,869,35213.70,49.82,2.4608,
AV4200PRV,869,34523.90,62.27,2.4608,
AV4200PRV,869,33835.80,74.73,2.4608,
AV4200PRV,869,32801.10,93.41,2.4608,
AV4200PRV,869,30947.48,124.54,2.4608,
AV4200PRV,869,28767.65,155.68,2.4608,
AV4200PRV,869,25971.08,186.82,2.4608,
AV4200PRV,848,49777.62,0.00,4.0939,
AV4200PRV,848,48189.04,24.91,4.0939,
AV4200PRV,848,47784.68,31.14,4.0939,
AV4200PRV,848,47376.92,37.36,4.0939,
AV4200PRV,848,46552.90,49.82,4.0939,
AV4200PRV,848,45716.98,62.27,4.0939,
AV4200PRV,848,44889.56,74.73,4.0939,
AV4200PRV,848,43637.39,93.41,4.0939,
AV4200PRV,848,41360.72,124.54,4.0939,
AV4200PRV,848,38368.76,155.68,4.0939,
AV4200PRV,848,34367.59,186.82,4.0939,
AV4800PRV,537,38457.11,0.00,1.2304,
AV4800PRV,537,35811.75,24.91,1.2304,
AV4800PRV,537,35074.38,31.14,1.2304,
AV4800PRV,537,34287.74,37.36,1.2304,
AV4800PRV,537,32559.84,49.82,1.2304,
AV4800PRV,537,30660.35,62.27,1.2304,
AV4800PRV,537,28543.38,74.73,1.2304,
AV4800PRV,591,42324.06,0.00,1.6405,
AV4800PRV,591,39955.64,24.91,1.6405,
AV4800PRV,591,39310.01,31.14,1.6405,
AV4800PRV,591,38638.90,37.36,1.6405,
AV4800PRV,591,37184.55,49.82,1.6405,
AV4800PRV,591,35575.59,62.27,1.6405,
